,Conf.,Zipfian s,TransE,DistMult,ComplEx
0,1,0.5,0.052000000000000005,0.006900000000000001,0.0062
1,2,1.0,0.056499999999999995,0.0072,0.0075
2,3,1.5,0.10800000000000001,0.027700000000000002,0.0243
3,4,2.0,0.1307,0.03330000000000001,0.03459999999999999
4,5,2.5,0.0392,0.0124,0.0129
5,6,3.0,0.024900000000000002,0.0052,0.0053
6,7,3.5,0.0188,0.0045,0.0043
7,8,4.0,0.020300000000000002,0.0049,0.0052
