,Conf.,Zipfian s,TransE,DistMult,ComplEx
0,1,0.5,0.0035955125003058926,0.0008659224338483186,0.0010085194974053448
1,2,1.0,0.006935008619745129,0.0013604410354539802,0.0016005981402536205
2,3,1.5,0.014521467399151432,0.005677671901064232,0.005591086862553795
3,4,2.0,0.014915965143107385,0.016687572977478297,0.016292935286900723
4,5,2.5,0.006236334953509234,0.001397538531533206,0.0009014670398593774
5,6,3.0,0.0027151418696518964,0.001132543168289546,0.00149143145058712
