,Conf.,Zipfian s,Mean,Std. dev,Graph 0,Graph 1,Graph 2,Graph 3,Graph 4,Graph 5,Graph 6,Graph 7,Graph 8,Graph 9
0,1,0.5,0.007550000000000001,0.001312440474840669,0.0085,0.0075,0.006,0.006,0.007,0.0105,0.0065,0.0085,0.007,0.008
1,2,1.0,0.015250000000000003,0.0024723470630152234,0.013,0.015,0.0135,0.019,0.0185,0.011,0.013,0.017,0.016,0.0165
2,3,1.5,0.0269,0.009137286249209882,0.0265,0.022,0.0195,0.0195,0.0385,0.0355,0.027,0.0145,0.0215,0.0445
3,4,2.0,0.023850000000000003,0.019801578219929845,0.006,0.0455,0.0095,0.005,0.036,0.0085,0.0455,0.003,0.02,0.0595
4,5,2.5,0.007650000000000001,0.006960783001933045,0.012,0.024,0.0105,0.002,0.0125,0.0025,0.001,0.008,0.002,0.002
5,6,3.0,0.0026000000000000003,0.001972308292331602,0.004,0.001,0.0035,0.0025,0.0005,0.001,0.0015,0.003,0.0075,0.0015
6,7,3.5,0.0025499999999999997,0.0015074813431681334,0.0035,0.0015,0.0015,0.0055,0.0,0.0025,0.0045,0.002,0.002,0.0025
7,8,4.0,0.002,0.0014491376746189437,0.003,0.0015,0.001,0.0005,0.0005,0.005,0.002,0.0015,0.004,0.001
