,Conf.,Zipfian s,Mean MR,Std. dev. MR,Mean MRR,Std. dev. MRR,Mean Hits@1,Std. dev. Hits@1,Mean Hits@10,Std. dev. Hits@10,Mean Hits@100,Std. dev. Hits@100
0,1,0.5,11130.49885,136.56435189225797,0.0008187940736725699,0.0005255398350078866,0.00030000000000000003,0.000458257569495584,0.0008,0.0007483314773547883,0.00615,0.002074246851269154
1,2,1.0,9058.4437,139.04850742280556,0.0011451451817278,0.00047440492617343996,0.0004,0.0004358898943540673,0.0018500000000000003,0.00105,0.008600000000000002,0.0022113344387495984
2,3,1.5,7354.560900000001,234.35357934857757,0.00537544544077663,0.0016133832170719751,0.0035000000000000005,0.0014999999999999998,0.007300000000000001,0.002325940669922601,0.023599999999999996,0.0027459060435491966
3,4,2.0,8789.42125,640.3018063841555,0.01569058728842528,0.006642148034099833,0.013600000000000001,0.0063158530698552515,0.0182,0.0075736384915045946,0.0367,0.011391224692718515
4,5,2.5,13313.9992,483.6527634672523,0.0020190633011678903,0.0014871280651369988,0.00125,0.0013275918047351753,0.0024500000000000004,0.0018227726133558185,0.010499999999999999,0.003748332962798262
5,6,3.0,15169.86745,380.7355831790908,0.0006085167292793299,0.0005341551113781068,0.00015000000000000001,0.0004500000000000001,0.00075,0.0008732124598286491,0.0046,0.0020346989949375804
6,7,3.5,15038.601200000001,228.2346686863326,0.00083209487572815,0.0006923893461618862,0.00030000000000000003,0.0006403124237432849,0.00115,0.0009759610647971567,0.0060999999999999995,0.0015132745950421555
7,8,4.0,14943.404749999998,204.4799427834241,0.0005606106829975901,0.0003444300387244724,0.00015000000000000001,0.00032015621187164245,0.0004,0.00037416573867739413,0.0057,0.0023259406699226016
