,Conf.,Zipfian s,TransE,DistMult,ComplEx
0,1,0.5,5252.028200000001,11261.1921,11348.1725
1,2,1.0,4729.950999999999,8979.3641,8994.756099999999
2,3,1.5,3875.9841,7323.885,7360.998999999999
3,4,2.0,4043.0729,9069.9386,8931.365600000001
4,5,2.5,6673.078100000001,13457.987400000002,13449.0249
5,6,3.0,8643.0117,15001.235400000001,14995.3998
6,7,3.5,8845.5591,15082.055400000001,14983.0779
7,8,4.0,8206.0926,14775.5055,15134.122599999999
