,Conf.,Zipfian s,Mean,Std. dev,Graph 0,Graph 1,Graph 2,Graph 3,Graph 4,Graph 5,Graph 6,Graph 7,Graph 8,Graph 9
0,1,0.5,0.00030000000000000003,0.000458257569495584,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.001
1,2,1.0,0.0004,0.0004358898943540673,0.0,0.0005,0.0005,0.0005,0.0,0.0015,0.0,0.0005,0.0005,0.0
2,3,1.5,0.0035000000000000005,0.0014999999999999998,0.003,0.004,0.0035,0.007,0.001,0.003,0.0025,0.0045,0.0025,0.004
3,4,2.0,0.013600000000000001,0.0063158530698552515,0.0125,0.02,0.007,0.0195,0.0115,0.013,0.0175,0.005,0.0245,0.0055
4,5,2.5,0.00125,0.0013275918047351753,0.001,0.004,0.0015,0.001,0.0,0.0,0.002,0.0,0.003,0.0
5,6,3.0,0.00015000000000000001,0.0004500000000000001,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0
6,7,3.5,0.00030000000000000003,0.0006403124237432849,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.0,0.0
7,8,4.0,0.00015000000000000001,0.00032015621187164245,0.0,0.0005,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0
