,Conf.,Zipfian s,Mean,Std. dev,Graph 0,Graph 1,Graph 2,Graph 3,Graph 4,Graph 5,Graph 6,Graph 7,Graph 8,Graph 9
0,1,0.5,0.0006500000000000001,0.0006726812023536855,0.0015,0.002,0.0,0.0005,0.001,0.0,0.0,0.001,0.0005,0.0
1,2,1.0,0.0014000000000000002,0.0009695359714832659,0.002,0.001,0.0015,0.003,0.0015,0.0005,0.0,0.0005,0.003,0.001
2,3,1.5,0.0034500000000000004,0.00278792037189013,0.0005,0.0015,0.004,0.0015,0.0045,0.0075,0.004,0.0005,0.0015,0.009
3,4,2.0,0.008000000000000002,0.008267405880927826,0.001,0.0205,0.001,0.001,0.012,0.001,0.021,0.0005,0.005,0.017
4,5,2.5,0.0016,0.002188606862823929,0.004,0.007,0.001,0.0,0.0025,0.0,0.0,0.001,0.0,0.0005
5,6,3.0,0.0002,0.00024494897427831784,0.0,0.0005,0.0005,0.0,0.0,0.0,0.0,0.0005,0.0005,0.0
6,7,3.5,0.00035,0.00032015621187164245,0.0005,0.0005,0.0005,0.0005,0.0,0.0,0.001,0.0005,0.0,0.0
7,8,4.0,0.00025,0.00046097722286464433,0.0005,0.0,0.0005,0.0,0.0,0.0015,0.0,0.0,0.0,0.0
