,Conf.,Zipfian s,Graph 0,Graph 1,Graph 2,Graph 3,Graph 4,Mean Hits@100,Std. dev. of Hits@100
0,1,0.5,0.04,0.055,0.0505,0.045,0.047,0.051649999999999995,0.006667270805959511
1,2,1.0,0.06,0.07,0.063,0.068,0.0595,0.0625,0.007658328799418319
2,3,1.5,0.0805,0.063,0.1095,0.0735,0.122,0.0935,0.02793743008939798
3,4,2.0,0.0325,0.1315,0.0325,0.037,0.1255,0.07574999999999998,0.045005138595498186
4,5,2.5,0.0655,0.0775,0.054,0.015,0.053,0.03780000000000001,0.022137298841547946
5,6,3.0,0.0295,0.0165,0.0175,0.025,0.0145,0.02275,0.007642807075937478
6,7,3.5,0.027,0.0115,0.0105,0.029,0.014,0.01735,0.006595642500924379
7,8,4.0,0.0225,0.018,0.0215,0.019,0.0165,0.019149999999999993,0.002766315238724611
