,Conf.,Zipfian s,Graph 0,Graph 1,Graph 2,Graph 3,Graph 4,Mean Hits@10,Std. dev. of Hits@10
0,1,0.5,0.0,0.0,0.0015,0.0005,0.001,0.0008,0.0007483314773547883
1,2,1.0,0.0,0.0035,0.0015,0.002,0.001,0.0018500000000000003,0.00105
2,3,1.5,0.009,0.009,0.007,0.012,0.003,0.007300000000000001,0.002325940669922601
3,4,2.0,0.015,0.0235,0.0115,0.023,0.015,0.0182,0.0075736384915045946
4,5,2.5,0.002,0.0065,0.003,0.001,0.001,0.0024500000000000004,0.0018227726133558185
5,6,3.0,0.001,0.0,0.0005,0.001,0.001,0.00075,0.0008732124598286491
6,7,3.5,0.0005,0.0015,0.0015,0.0015,0.0,0.00115,0.0009759610647971567
7,8,4.0,0.0005,0.0005,0.001,0.0,0.0,0.0004,0.00037416573867739413
