,Conf.,Zipfian s,Mean,Std. dev,Graph 0,Graph 1,Graph 2,Graph 3,Graph 4,Graph 5,Graph 6,Graph 7,Graph 8,Graph 9
0,1,0.5,0.00615,0.002074246851269154,0.0065,0.0045,0.0055,0.005,0.003,0.008,0.008,0.0045,0.006,0.0105
1,2,1.0,0.008600000000000002,0.0022113344387495984,0.0095,0.009,0.0055,0.0115,0.0065,0.0105,0.008,0.012,0.0055,0.008
2,3,1.5,0.023599999999999996,0.0027459060435491966,0.028,0.025,0.023,0.029,0.0205,0.0235,0.0225,0.022,0.0215,0.021
3,4,2.0,0.0367,0.011391224692718515,0.0305,0.037,0.028,0.039,0.0335,0.041,0.0385,0.0315,0.0665,0.0215
4,5,2.5,0.010499999999999999,0.003748332962798262,0.012,0.0185,0.013,0.007,0.008,0.0045,0.0135,0.009,0.0105,0.009
5,6,3.0,0.0046,0.0020346989949375804,0.008,0.0045,0.0065,0.004,0.0045,0.006,0.005,0.0005,0.002,0.005
6,7,3.5,0.0060999999999999995,0.0015132745950421555,0.006,0.0055,0.0045,0.005,0.007,0.006,0.01,0.0065,0.006,0.0045
7,8,4.0,0.0057,0.0023259406699226016,0.0055,0.004,0.006,0.0065,0.002,0.0075,0.008,0.002,0.0095,0.006
