,Conf.,Zipfian s,Mean MR,Std. dev. MR,Mean MRR,Std. dev. MRR,Mean Hits@1,Std. dev. Hits@1,Mean Hits@10,Std. dev. Hits@10,Mean Hits@100,Std. dev. Hits@100
0,1,0.5,11261.1921,199.48591444746185,0.00069103617129092,0.0001659193848515463,0.0001,0.0002,0.0008,0.0002449489742783178,0.006900000000000001,0.002289104628451919
1,2,1.0,8979.3641,110.12274286649405,0.00056404211834396,4.351580485155753e-05,0.0,0.0,0.00030000000000000003,0.0002449489742783178,0.0072,0.0012884098726725125
2,3,1.5,7323.885,95.05650960928448,0.00620351592442366,0.0016078054727560133,0.0038,0.0015033296378372909,0.009700000000000002,0.00198997487421324,0.027700000000000002,0.0035860842154082206
3,4,2.0,9069.9386,599.9108428281152,0.013799088822660937,0.006794046792067601,0.0118,0.0062657800791282164,0.015600000000000003,0.007418894796396563,0.03330000000000001,0.01093892133621958
4,5,2.5,13457.987400000002,407.21802369313184,0.0054307165829157,0.003521253781862396,0.0047,0.0034000000000000002,0.0062,0.003906404996924922,0.0124,0.005678027826631356
5,6,3.0,15001.235400000001,267.4545210218737,0.00057557371353338,0.00023993624455239616,0.0001,0.0002,0.0007,0.0005099019513592785,0.0052,0.0017204650534085252
6,7,3.5,15082.055400000001,230.575778281978,0.0005753528328050399,0.0004040158109868175,0.0002,0.0004,0.0006000000000000001,0.00058309518948453,0.0045,0.0018973665961010276
7,8,4.0,14775.5055,247.04407856615364,0.00076602493046542,0.0005223620329055626,0.0002,0.0004,0.0013000000000000002,0.0009273618495495704,0.0049,0.0013564659966250536
