,Conf.,Zipfian s,Graph 0,Graph 1,Graph 2,Graph 3,Graph 4,Mean Hits@10,Std. dev. of Hits@10
0,1,0.5,0.0005,0.0015,0.0,0.0005,0.0015,0.00115,0.0006726812023536855
1,2,1.0,0.0005,0.001,0.0015,0.002,0.0005,0.0018000000000000002,0.0012083045973594571
2,3,1.5,0.0075,0.0085,0.0095,0.0085,0.0035,0.008,0.002097617696340303
3,4,2.0,0.0185,0.0235,0.0095,0.0245,0.0145,0.0177,0.008570880934886447
4,5,2.5,0.0015,0.0075,0.002,0.002,0.001,0.0023,0.0021236760581595303
5,6,3.0,0.0005,0.0,0.0,0.0005,0.0,0.0007000000000000001,0.0008426149773176359
6,7,3.5,0.0,0.0,0.0,0.0,0.0005,0.0004,0.00058309518948453
7,8,4.0,0.0025,0.001,0.001,0.0,0.0005,0.0007500000000000001,0.0008440971508067066
