,Graph,Mean Rank,Mean Reciprocal Rank,Hits@1,Hits@10,Hits@100
0,0,9005.6635,0.00046757385845795684,0.0,0.0005,0.005
1,1,8907.128,0.0006614241947850647,0.0,0.001,0.0085
2,2,9054.8365,0.0012162282276828892,0.0005,0.0015,0.01
3,3,9073.758,0.0013669959188687397,0.0005,0.002,0.011
4,4,9165.906,0.001033714685982447,0.0005,0.0005,0.008
5,5,8923.741,0.0028373984678749225,0.0015,0.004,0.013
6,6,8990.597,0.0014327560994897314,0.0005,0.002,0.0135
7,7,9120.0375,0.0007555719292832525,0.0,0.001,0.0085
8,8,8974.9145,0.0012790763293885404,0.0005,0.0015,0.0085
9,9,9070.522,0.0020607303284147756,0.0005,0.004,0.012
