,Graph,Mean Rank,Mean Reciprocal Rank,Hits@1,Hits@10,Hits@100
0,0,11174.2985,0.0005051813354142994,0.0,0.0,0.0065
1,1,11099.1015,0.0003602157331270635,0.0,0.0,0.0045
2,2,11138.7415,0.0013737768454887978,0.001,0.0015,0.0055
3,3,11055.587,0.0004582546710275002,0.0,0.0005,0.005
4,4,11452.24,0.0005587887406739452,0.0,0.001,0.003
5,5,11010.5645,0.0006069910807829169,0.0,0.0005,0.008
6,6,11115.258,0.0015774621209473153,0.001,0.002,0.008
7,7,11135.3915,0.00034301921116626,0.0,0.0,0.0045
8,8,11220.5625,0.0005669123734692244,0.0,0.0005,0.006
9,9,10903.2435,0.0018373386246288272,0.001,0.002,0.0105
