,Graph,Mean Rank,Mean Reciprocal Rank,Hits@1,Hits@10,Hits@100
0,0,15039.7675,0.0005678991686646959,0.0,0.001,0.008
1,1,15464.295,0.00034815529359421047,0.0,0.0,0.0045
2,2,15163.851,0.0004899129271946392,0.0,0.0005,0.0065
3,3,15347.9795,0.00047092131379540336,0.0,0.001,0.004
4,4,14593.258,0.0005963217886569795,0.0,0.001,0.0045
5,5,15844.283,0.002169383272178668,0.0015,0.003,0.006
6,6,14798.4835,0.0003456111320418791,0.0,0.0,0.005
7,7,15417.6295,0.00024008211495977485,0.0,0.0,0.0005
8,8,14640.828,0.0002790949841607501,0.0,0.0,0.002
9,9,15388.2995,0.0005777852975468521,0.0,0.001,0.005
