,Graph,Mean Rank,Mean Reciprocal Rank,Hits@1,Hits@10,Hits@100
0,0,7639.9855,0.0039913137672525495,0.0015,0.0085,0.04
1,1,7712.4795,0.0048652423841169645,0.002,0.0075,0.055
2,2,4771.4585,0.0032988384010281713,0.0,0.006,0.0505
3,3,7431.0155,0.003310396916799798,0.0005,0.006,0.045
4,4,7397.4975,0.003933293736420869,0.001,0.007,0.047
5,5,4884.5475,0.003875595486202361,0.0,0.0105,0.056
6,6,7547.955,0.002662700537667926,0.0,0.0065,0.0465
7,7,7348.22,0.00454854908295131,0.001,0.0085,0.0545
8,8,4733.0905,0.0041570548211044955,0.0005,0.007,0.062
9,9,4768.511,0.003398461072109579,0.0,0.008,0.06
