,Graph,Mean Rank,Mean Reciprocal Rank,Hits@1,Hits@10,Hits@100
0,0,8809.014,0.014478860909107055,0.0115,0.0185,0.031
1,1,8835.486,0.022665173292648607,0.0215,0.0235,0.0395
2,2,9012.3845,0.007339876703656598,0.0055,0.0095,0.0245
3,3,8189.6505,0.02184146876396781,0.019,0.0245,0.0435
4,4,9270.5375,0.012309665737295706,0.0105,0.0145,0.0265
5,5,8805.7145,0.012487001403406658,0.0105,0.013,0.027
6,6,8693.088,0.01940543634252193,0.0175,0.022,0.04
7,7,9462.9755,0.005368571253609931,0.0035,0.0065,0.024
8,8,7871.842,0.028892972488511012,0.025,0.036,0.056
9,9,9757.8895,0.006301384734674258,0.0045,0.009,0.0175
