,Graph,Mean Rank,Mean Reciprocal Rank,Hits@1,Hits@10,Hits@100
0,0,9321.753,0.000495930988521415,0.0,0.0,0.0095
1,1,8996.288,0.0015077725859779705,0.0005,0.0035,0.009
2,2,8865.38,0.0011812479907063755,0.0005,0.0015,0.0055
3,3,8933.8955,0.0013328229457094216,0.0005,0.002,0.0115
4,4,9173.613,0.0005683216786957721,0.0,0.001,0.0065
5,5,9035.6515,0.002063272776029803,0.0015,0.002,0.0105
6,6,8959.002,0.0010654590331148647,0.0,0.003,0.008
7,7,9134.7725,0.0014734688862924204,0.0005,0.0025,0.012
8,8,9217.599,0.0012224076504723867,0.0005,0.0025,0.0055
9,9,8946.4825,0.0005407472817580194,0.0,0.0005,0.008
