,Graph,Mean Rank,Mean Reciprocal Rank,Hits@1,Hits@10,Hits@100
0,0,13178.095,0.0017085333734549485,0.001,0.002,0.012
1,1,12260.9655,0.005213081419466191,0.004,0.0065,0.0185
2,2,12731.8915,0.0024625831927875433,0.0015,0.003,0.013
3,3,13162.093,0.0014220091047105394,0.001,0.001,0.007
4,4,13488.378,0.0006328997050760719,0.0,0.001,0.008
5,5,13527.393,0.0005096383220881012,0.0,0.001,0.0045
6,6,13738.159,0.0031824979969533053,0.002,0.0045,0.0135
7,7,13706.031,0.0009321035224335346,0.0,0.0015,0.009
8,8,13371.907,0.003567851412691096,0.003,0.0035,0.0105
9,9,13975.079,0.0005594349620180073,0.0,0.0005,0.009
