,Graph,Mean Rank,Mean Reciprocal Rank,Hits@1,Hits@10,Hits@100
0,0,5162.1405,0.008066292953699438,0.004,0.012,0.0655
1,1,4928.0945,0.01317731910674414,0.007,0.024,0.0775
2,2,5426.5,0.004822732473735608,0.001,0.0105,0.054
3,3,9080.394,0.0010682615990312233,0.0,0.002,0.015
4,4,5407.0715,0.006673628830009127,0.0025,0.0125,0.053
5,5,8993.4565,0.0012150556029870729,0.0,0.0025,0.017
6,6,9116.2635,0.0012019960398995636,0.0,0.001,0.019
7,7,5598.881,0.004360703981427552,0.001,0.008,0.04
8,8,9068.149,0.0012856902274465632,0.0,0.002,0.0165
9,9,8778.6745,0.001736672122972787,0.0005,0.002,0.0205
