,Graph,Mean Rank,Mean Reciprocal Rank,Hits@1,Hits@10,Hits@100
0,0,4603.466,0.00943915614924331,0.0005,0.0265,0.0805
1,1,4557.827,0.008208570477119106,0.0015,0.022,0.063
2,2,3599.126,0.011723363723545452,0.004,0.0195,0.1095
3,3,4715.8515,0.00816605437602291,0.0015,0.0195,0.0735
4,4,3450.2235,0.01595370498778819,0.0045,0.0385,0.122
5,5,3432.249,0.018243265466919966,0.0075,0.0355,0.1285
6,6,4671.6375,0.012111799428435755,0.004,0.027,0.0805
7,7,4681.301,0.005257638929702569,0.0005,0.0145,0.0645
8,8,4703.9425,0.008218493017879842,0.0015,0.0215,0.07
9,9,3339.801,0.021008940718122773,0.009,0.0445,0.143
