,Graph,Mean Rank,Mean Reciprocal Rank,Hits@1,Hits@10,Hits@100
0,0,7278.6075,0.003838320733068801,0.0015,0.0075,0.0255
1,1,7198.0995,0.006176237977172672,0.0045,0.0085,0.0265
2,2,7538.863,0.0060596725244846245,0.0035,0.0095,0.0245
3,3,7458.107,0.006894809494832758,0.005,0.0085,0.027
4,4,7475.5725,0.002239321159530933,0.0005,0.0035,0.0175
5,5,7421.584,0.0038465193821591035,0.002,0.006,0.0165
6,6,7111.335,0.004484840737351027,0.002,0.0075,0.0285
7,7,7544.645,0.0045394221642181395,0.0025,0.0075,0.022
8,8,7282.8215,0.0069480772259257065,0.0045,0.01,0.028
9,9,7390.7805,0.006307149011290366,0.0035,0.0115,0.0285
