,Graph,Mean Rank,Mean Reciprocal Rank,Hits@1,Hits@10,Hits@100
0,0,8834.8355,0.013981447711070483,0.0125,0.015,0.0305
1,1,8769.1245,0.021781126283077077,0.02,0.0235,0.037
2,2,8970.249,0.008927063548845067,0.007,0.0115,0.028
3,3,8601.9335,0.021115942210644733,0.0195,0.023,0.039
4,4,8972.7305,0.013298871555138021,0.0115,0.015,0.0335
5,5,8765.2345,0.015605148185620279,0.013,0.019,0.041
6,6,8757.211,0.01905348532236195,0.0175,0.0205,0.0385
7,7,9479.1785,0.007325194723834031,0.005,0.01,0.0315
8,8,7112.9235,0.028612262620952695,0.0245,0.0355,0.0665
9,9,9630.792,0.007205330722709025,0.0055,0.009,0.0215
