,Graph,Mean Rank,Mean Reciprocal Rank,Hits@1,Hits@10,Hits@100
0,0,7646.3645,0.005753567595739941,0.003,0.009,0.028
1,1,7226.6685,0.0061905407993302205,0.004,0.009,0.025
2,2,7712.113,0.005105581920462294,0.0035,0.007,0.023
3,3,7201.9325,0.009111465965981015,0.007,0.012,0.029
4,4,7473.635,0.0025691289720576067,0.001,0.003,0.0205
5,5,7248.258,0.005052534919427208,0.003,0.008,0.0235
6,6,7309.8455,0.004500140844962571,0.0025,0.0055,0.0225
7,7,7189.669,0.006026934749568439,0.0045,0.0075,0.022
8,8,6931.581,0.003957920171987148,0.0025,0.0055,0.0215
9,9,7605.542,0.005486638468250296,0.004,0.0065,0.021
