,Conf.,Zipfian s,TransE,DistMult,ComplEx
0,1,0.5,0.001,0.0001,0.0002
1,2,1.0,0.0012000000000000001,0.0,0.00030000000000000003
2,3,1.5,0.008400000000000001,0.0038,0.004399999999999999
3,4,2.0,0.014600000000000002,0.0118,0.012199999999999999
4,5,2.5,0.0027999999999999995,0.0047,0.0052
5,6,3.0,0.0006000000000000001,0.0001,0.0
6,7,3.5,0.0002,0.0002,0.0002
7,8,4.0,0.0002,0.0002,0.00030000000000000003
