,Graph,Mean Rank,Mean Reciprocal Rank,Hits@1,Hits@10,Hits@100
0,0,3954.268,0.006248224016555736,0.002,0.013,0.06
1,1,3792.0805,0.007496050282173478,0.001,0.015,0.07
2,2,3796.9305,0.006680505770942391,0.0015,0.0135,0.063
3,3,3904.8075,0.008620483572990617,0.003,0.019,0.068
4,4,3959.1475,0.00793707112848255,0.0015,0.0185,0.0595
5,5,5919.2475,0.004205617381788835,0.0005,0.011,0.0455
6,6,3936.938,0.005153092796235358,0.0,0.013,0.0685
7,7,5940.2865,0.005135783630929012,0.0005,0.017,0.054
8,8,3930.903,0.008813310051070613,0.003,0.016,0.0715
9,9,3814.1325,0.007252800469705314,0.001,0.0165,0.065
