,Conf.,Zipfian s,Mean Rank,Mean Reciprocal Rank,Hits@1,Hits@10,Hits@100
0,1,0.5,11261.1921,0.00069103617129092,0.0001,0.0008,0.006900000000000001
1,2,1.0,8979.3641,0.00056404211834396,0.0,0.00030000000000000003,0.0072
2,3,1.5,7323.885,0.00620351592442366,0.0038,0.009700000000000002,0.027700000000000002
3,4,2.0,9069.9386,0.013799088822660937,0.0118,0.015600000000000003,0.03330000000000001
4,5,2.5,13457.987400000002,0.0054307165829157,0.0047,0.0062,0.0124
5,6,3.0,15001.235400000001,0.00057557371353338,0.0001,0.0007,0.0052
6,7,3.5,15082.055400000001,0.0005753528328050399,0.0002,0.0006000000000000001,0.0045
7,8,4.0,14775.5055,0.00076602493046542,0.0002,0.0013000000000000002,0.0049
