,Graph,Mean Rank,Mean Reciprocal Rank,Hits@1,Hits@10,Hits@100
0,0,11342.34,0.0008779445689884979,0.0005,0.0005,0.006
1,1,11178.753,0.0007498991060852229,0.0,0.0015,0.0075
2,2,11007.38,0.000522146347628196,0.0,0.0,0.0075
3,3,11293.3285,0.00046535449486994213,0.0,0.0005,0.003
4,4,11210.21,0.0009384450640995239,0.0005,0.0015,0.005
5,5,11418.6165,0.0006331232707879806,0.0,0.001,0.006
6,6,11480.9705,0.0017078750932582828,0.001,0.0025,0.0075
7,7,11106.5385,0.0005699476527574879,0.0,0.001,0.0065
8,8,11769.3995,0.0007471003942707928,0.0,0.0015,0.0085
9,9,10937.0755,0.0011842532719253105,0.0005,0.0015,0.0115
