,Conf.,Zipfian s,TransE,DistMult,ComplEx
0,1,0.5,0.00448488342901792,0.00069103617129092,0.0008504361282440801
1,2,1.0,0.00609603452628518,0.00056404211834396,0.00102906150092922
2,3,1.5,0.01756178100900744,0.00620351592442366,0.00616078294330276
3,4,2.0,0.02429178123659142,0.013799088822660937,0.01408052281926386
4,5,2.5,0.00596462180444374,0.0054307165829157,0.005976299867716641
5,6,3.0,0.00259594701095512,0.00057557371353338,0.00051967124733326
6,7,3.5,0.00169928642564678,0.0005753528328050399,0.0005407059267979999
7,8,4.0,0.00159147855378308,0.00076602493046542,0.00082175743877168
