,Graph,Mean Rank,Mean Reciprocal Rank,Hits@1,Hits@10,Hits@100
0,0,6416.122,0.0022366890391879385,0.0005,0.003,0.0225
1,1,6698.1435,0.0012806647761199198,0.0,0.0015,0.018
2,2,10572.865,0.0016808876009741223,0.0005,0.001,0.0215
3,3,10823.5955,0.000977728810126697,0.0,0.0005,0.019
4,4,10339.015,0.0009956451317487771,0.0,0.0005,0.0165
5,5,6582.4245,0.0032204475306519286,0.0015,0.005,0.0205
6,6,6559.86,0.00174616306861174,0.0,0.002,0.0235
7,7,6670.1275,0.0014391555446743962,0.0,0.0015,0.015
8,8,6795.09,0.0017432986056708849,0.0,0.004,0.0195
9,9,6401.6775,0.0012875250054469472,0.0,0.001,0.0155
