,Graph,Mean Rank,Mean Reciprocal Rank,Hits@1,Hits@10,Hits@100
0,0,14850.918,0.0012564029730562979,0.0005,0.0025,0.0085
1,1,14503.362,0.00043932720680052174,0.0,0.001,0.0035
2,2,15247.5625,0.0006322314716227663,0.0,0.001,0.0055
3,3,14946.4115,0.00033913072581061445,0.0,0.0,0.005
4,4,15559.058,0.000326276562716591,0.0,0.0005,0.002
5,5,14950.7025,0.001799252293166302,0.001,0.002,0.0085
6,6,15208.4985,0.00034339592151130214,0.0,0.0,0.005
7,7,14658.756,0.00035326656283461266,0.0,0.0,0.005
8,8,15062.432,0.0003497029422764193,0.0,0.0005,0.004
9,9,15004.7675,0.00028699833495303466,0.0,0.0,0.0025
