,Graph,Mean Rank,Mean Reciprocal Rank,Hits@1,Hits@10,Hits@100
0,0,13587.06,0.001879006733567231,0.0015,0.0015,0.0065
1,1,12729.1145,0.006739772320597852,0.0055,0.0075,0.0165
2,2,13795.015,0.001693086317097739,0.001,0.002,0.011
3,3,13504.782,0.0016686756014794581,0.001,0.002,0.006
4,4,13445.3265,0.0006634165678419881,0.0,0.001,0.012
5,5,13566.4085,0.0003114291500230499,0.0,0.0,0.0035
6,6,13987.126,0.0029289999653864286,0.0025,0.003,0.0075
7,7,13360.0655,0.000792857069071136,0.0,0.001,0.0085
8,8,13620.748,0.0036674381272568096,0.003,0.0045,0.0135
9,9,14087.48,0.0006373946787151837,0.0,0.0005,0.0085
