,Graph,Mean Rank,Mean Reciprocal Rank,Hits@1,Hits@10,Hits@100
0,0,6314.1165,0.0024175135959348935,0.0005,0.0035,0.027
1,1,10740.779,0.0014328671152659136,0.0005,0.0015,0.0115
2,2,10482.8575,0.001338166939155887,0.0005,0.0015,0.0105
3,3,6373.7315,0.002849121466117606,0.0005,0.0055,0.029
4,4,10580.6435,0.0007187466094040568,0.0,0.0,0.014
5,5,10345.038,0.0013669802372011017,0.0,0.0025,0.0125
6,6,6396.3005,0.0029656620404493014,0.001,0.0045,0.0235
7,7,10849.8455,0.001765852145992925,0.0005,0.002,0.014
8,8,10631.212,0.0013417983342970594,0.0,0.002,0.02
9,9,10819.533,0.0012393429627694165,0.0,0.0025,0.0115
