,Graph,Mean Rank,Mean Reciprocal Rank,Hits@1,Hits@10,Hits@100
0,0,14935.7495,0.00041066193270084407,0.0,0.0005,0.0035
1,1,15107.606,0.00040498369496851593,0.0,0.0,0.0055
2,2,14673.179,0.00032559519272926525,0.0,0.0,0.004
3,3,14538.166,0.000508526442656713,0.0,0.0005,0.0065
4,4,15473.518,0.0002553472200714292,0.0,0.0,0.0025
5,5,14555.8055,0.0008984598866372937,0.0005,0.001,0.003
6,6,14991.4885,0.0003700961859350764,0.0,0.001,0.004
7,7,14822.986,0.0015898082569182257,0.0005,0.003,0.009
8,8,15289.935,0.00035444359222966203,0.0,0.0005,0.0035
9,9,15017.537,0.0005358435217943538,0.0,0.0005,0.0075
