,Graph,Mean Rank,Mean Reciprocal Rank,Hits@1,Hits@10,Hits@100
0,0,15200.0365,0.0004880540678037086,0.0,0.0005,0.006
1,1,15504.145,0.0006490123000512191,0.0,0.0015,0.0055
2,2,14936.392,0.0004947101600558564,0.0,0.0015,0.0045
3,3,15078.7715,0.0006645755051790753,0.0,0.0015,0.005
4,4,14891.905,0.0003675831423460493,0.0,0.0,0.007
5,5,14917.8685,0.00045492246978450656,0.0,0.0005,0.006
6,6,14686.929,0.0026464077744537766,0.002,0.0035,0.01
7,7,15153.4525,0.0015745335313723536,0.001,0.0015,0.0065
8,8,14794.649,0.000672243783718068,0.0,0.001,0.006
9,9,15221.863,0.00030890602251730894,0.0,0.0,0.0045
