,Graph,Mean Rank,Mean Reciprocal Rank,Hits@1,Hits@10,Hits@100
0,0,6079.0175,0.002432976485102588,0.0,0.004,0.0295
1,1,10292.0295,0.0013979573537451688,0.0005,0.001,0.0165
2,2,10449.142,0.0019105314404717925,0.0005,0.0035,0.0175
3,3,6354.9935,0.0019864806094192352,0.0,0.0025,0.025
4,4,10175.873,0.000994032538696515,0.0,0.0005,0.0145
5,5,10030.895,0.0010001610928746308,0.0,0.001,0.0155
6,6,10300.8685,0.0012380879177874178,0.0,0.0015,0.0155
7,7,6308.2345,0.0022167991667928133,0.0005,0.003,0.028
8,8,6063.6275,0.0034837853910440557,0.0005,0.0075,0.0385
9,9,5973.0845,0.0016625226812405924,0.0,0.0015,0.027
